,mrt_station,lat,long
94,Caldecott MRT station,1.33724561271722,103.840161782075
95,Botanic Gardens MRT station,1.32211373558877,103.814984510627
96,Farrer Road MRT station,1.31743915158967,103.807379214161
97,Holland Village MRT station,1.3121924408633,103.796411010764
98,Buona Vista MRT station,1.3072237082044,103.790253514502
99,one-north MRT station,1.29975987493555,103.78745750525
100,Kent Ridge MRT station,1.29356390505771,103.784569394529
101,Haw Par Villa MRT station,1.28256776898814,103.781788386048
102,Pasir Panjang MRT station,1.27621352233766,103.791350313288
103,Labrador Park MRT station,1.27236838626952,103.803416232089
104,Telok Blangah MRT station,1.27070647717762,103.809761611219
105,HarbourFront MRT station,1.26538938374901,103.821530157095
106,Bayfront MRT station,1.28187378879209,103.859079764874
107,Marina Bay MRT station,1.27642735476716,103.854597776754
108,Bukit Panjang MRT station,1.37861205530289,103.761405869523
109,Cashew MRT station,1.36981544925552,103.76443921414
110,Hillview MRT station,1.36234486803558,103.767418254007
111,Beauty World MRT station,1.34090149001429,103.775746717778
112,King Albert Park MRT station,1.335893496278,103.783235863233
113,Sixth Avenue MRT station,1.33085764536226,103.796906838288
114,Tan Kah Kee MRT station,1.32639224146351,103.806548201692
115,Botanic Gardens MRT station,1.32211373558877,103.814984510627
116,Stevens MRT station,1.32006555750626,103.826024401924
117,Newton MRT station,1.3123189224097,103.837984594021
118,Little India MRT station,1.30717851119677,103.849862860439
119,Rochor MRT station,1.30385218527656,103.852769428884
120,Bugis MRT station,1.30046508509717,103.855706730933
121,Promenade MRT station,1.29399798636232,103.860350000188
122,Bayfront MRT station,1.28187378879209,103.859079764874
123,Downtown MRT station,1.27944638178916,103.852840829581
124,Telok Ayer MRT station,1.28206894769394,103.848648781083
125,Chinatown MRT station,1.28422391919085,103.845143798953
126,Fort Canning MRT station,1.29248194822996,103.844331362465
127,Bencoolen MRT station,1.29891843369422,103.850353762717
128,Jalan Besar MRT station,1.3051713878069,103.855295713435
129,Bendemeer MRT station,1.31367252847691,103.862977620945
130,Geylang Bahru MRT station,1.32130110228321,103.871622627142
131,Mattar MRT station,1.32687671501334,103.883247509542
132,MacPherson MRT station,1.32615024457361,103.889298600376
133,Ubi MRT station,1.32997425973974,103.899226655439
134,Kaki Bukit MRT station,1.33503853739157,103.908775991205
135,Bedok North MRT station,1.33474211664091,103.91797832995
136,Bedok Reservoir MRT station,1.33660782955099,103.932234623286
137,Tampines West MRT station,1.3456336579777,103.938492495285
138,Tampines MRT station,1.34551530560119,103.938436971222
139,Tampines East MRT station,1.35619148271544,103.9546344625
140,Upper Changi MRT station,1.34173977444995,103.961472788634
141,Expo MRT station,1.33538252614956,103.962374747451
142,Woodlands North  MRT station,1.44778217342648,103.7851355073
143,Woodlands  MRT station,1.43605761708128,103.787938777173
144,Woodlands South  MRT station,1.42748811362716,103.792729941333
145,Springleaf MRT station,1.39758106126824,103.817856949947
146,Lentor MRT station,1.38550657972169,103.835743809669
147,Mayflower MRT station,1.37146318831015,103.836567766945
148,Bright Hill MRT station,1.36384676605097,103.833899206658
149,Upper Thomson MRT station,1.35441643365401,103.832898468504
150,Caldecott MRT station,1.33724561271722,103.840161782075
151,Stevens MRT station,1.32006555750626,103.826024401924
152,Napier MRT station,1.30678223364785,103.818956796815
153,Orchard Boulevard MRT station,1.30362307278619,103.82365038919
154,Orchard MRT station,1.30242224836722,103.823868523249
155,Great World MRT station,1.2933164567796,103.833906630914
156,Havelock MRT station,1.28850523975311,103.833585838226
157,Outram Park MRT station,1.2802415328084,103.840052100136
158,Maxwell MRT station,1.28053329842878,103.843883670633
159,Shenton Way MRT station,1.2777168283425,103.850367596067
160,Marina Bay MRT station,1.27642735476716,103.854597776754
161,Gardens by the Bay MRT station,1.27848725876303,103.867454664421
